SampleID,Group,site,month,age,bird_id,type,Recap,recap_delete,Recap_num,replicate,remove_replicate,weight,wing,hb,SourceSink,Env
9407,9407,Flinders,March,Unknown,3693210,stint,No,No,,No,No,32,107,39.6,source,gut
9431,9431,Flinders,March,Unknown,3693205,stint,No,No,,No,No,34,109,38.9,source,gut
9432,9432,Flinders,March,Unknown,3657916,stint,Yes,Yes,2,No,No,34,113,40.8,source,gut
9435,9435,Flinders,March,Unknown,3693203,stint,No,No,,No,No,31,107,41,source,gut
9436,9436,Flinders,March,Unknown,3692745,stint,Yes,No,2,No,No,31,104,39.8,source,gut
9437,9437,Flinders,March,Second year,3690505,stint,Yes,Yes,3,No,No,32,107,40.3,source,gut
9439,9439,Flinders,March,Adult,3657736,stint,Yes,No,2,No,No,29,109,39.3,source,gut
9442,9442,Flinders,March,Adult,3686258,stint,Yes,No,2,No,No,38,109,42.2,source,gut
9443,9443,Flinders,March,Adult,3686297,stint,Yes,Yes,3,No,No,36,101.3,38.9,source,gut
9446,9446,Flinders,March,Unknown,3693208,stint,No,No,,No,No,29,105,38.9,source,gut
9448,9448,Flinders,March,Second year,3686383,stint,Yes,No,2,No,No,29,106,37.4,source,gut
9449,9449,Flinders,March,Unknown,3693207,stint,No,No,,No,No,34,107,41.9,source,gut
9450,9450,Flinders,March,Second year,3686376,stint,Yes,No,2,No,No,31,109,40.3,source,gut
9451,9451,Flinders,March,Adult,3686362,stint,Yes,No,2,No,No,32,109,40.8,source,gut
9452,9452,Flinders,March,Second year,3686372,stint,Yes,No,2,No,No,32,111,40.6,source,gut
9453,9453,Flinders,March,Juvenile,3693206,stint,No,No,,No,No,30,105,38.8,source,gut
8639_2,8639,Flinders,September,Adult,3686361,stint,Yes,Yes,1,Yes,Yes,31,,,source,gut
9192_2,9192,WTP,December,Juvenile,3692411,stint,No,No,,Yes,Yes,31,,,source,gut
F1,Flind_env,Flinders,March,na,na,env,No,No,,Yes,No,,,,sink,env
F2,Flind_env,Flinders,March,na,na,env,No,No,,Yes,No,,,,sink,env
Neg,Neg,na,na,na,na,neg,na,No,,No,No,,,,sink,neg
WTP1,WTP_env,WTP,December,na,na,env,No,No,,No,No,,,,sink,env
WTP2,WTP_env,WTP,December,na,na,env,No,No,,No,No,,,,sink,env
